Name,team,position,cap_hit,mp_value,role_cluster
Michael Bunting,NSH,L,4500000.0,0.0370239624959403,3
Ivan Barbashev,VGK,C,5000000.0,0.0421640468867376,5
Leo Carlsson,ANA,C,950000.0,0.0285108566490223,3
Brett Howden,VGK,C,1900000.0,0.0334305177875585,4
Ryan Poehling,PHI,C,1900000.0,0.0264135617164047,3
Mathieu Olivier,CBJ,R,1100000.0,0.0164045038586429,4
Mason Marchment,DAL,L,4500000.0,0.0465161923454367,5
Zach Werenski,CBJ,D,9583333.0,0.0443369081872874,1
Scott Laughton,TOR,C,3000000.0,0.0163522730515681,4
Christian Dvorak,MTL,C,4450000.0,0.0207362764836864,3
Nick Foligno,CHI,L,4500000.0,0.0190237226277372,4
Owen Power,BUF,D,8350000.0,0.0263893563523332,2
Dylan Holloway,STL,L,2290457.0,0.0514402603918743,5
Roman Josi,NSH,D,9059000.0,0.0369332814089921,1
Luke Hughes,NJD,D,925000.0,0.0308677177060566,1
Connor Brown,EDM,R,1000000.0,0.0254700557103064,3
Frank Vatrano,ANA,R,3650000.0,0.0321074234783628,4
Kirill Kaprizov,MIN,L,9000000.0,0.0625848124626825,0
Sean Couturier,PHI,C,7750000.0,0.0323671497584541,1
Anze Kopitar,LAK,C,7000000.0,0.0427310719131614,1
Shayne Gostisbehere,CAR,D,3200000.0,0.0487478788502082,1
Jackson LaCombe,ANA,D,925000.0,0.0260321066634779,2
Simon Holmstrom,NYI,R,850000.0,0.0335371317134875,3
Mikael Granlund,DAL,C,5000000.0,0.0292442700805286,3
Brendan Gallagher,MTL,R,6500000.0,0.0317182547218042,5
Owen Tippett,PHI,R,6200000.0,0.0378928561760645,5
Simon Edvinsson,DET,D,894167.0,0.0182701062215478,2
Leon Draisaitl,EDM,C,8500000.0,0.0782008203875021,0
Alex Pietrangelo,VGK,D,8800000.0,0.0259218509320675,2
Brayden Schenn,STL,C,6500000.0,0.0295972222222222,4
Trevor Zegras,ANA,C,5750000.0,0.0226001304183683,3
Kris Letang,PIT,D,6100000.0,0.0180080993365437,2
Luke Evangelista,NSH,R,797500.0,0.0415259028906636,3
Anthony Cirelli,TBL,C,6250000.0,0.0477116169159774,3
Evgenii Dadonov,DAL,R,2250000.0,0.0326693349753694,3
Jake Walman,EDM,D,3400000.0,0.0308755967930817,2
Aleksander Barkov,FLA,C,10000000.0,0.0617115070545329,0
Alex Vlasic,CHI,D,4600000.0,0.0049959371969279,2
Jake Sanderson,OTT,D,8050000.0,0.0300046027173079,1
Cole Sillinger,CBJ,C,2250000.0,0.0199587924393084,3
David Pastrnak,BOS,R,11250000.0,0.0640682266704257,0
Nick Paul,TBL,L,3150000.0,0.0333133277317648,3
Adam Fantilli,CBJ,C,950000.0,0.0342524217650684,5
Maxim Tsyplakov,NYI,R,950000.0,0.0316451668884132,1
Juraj Slafkovsk,MTL,L,950000.0,0.0349052703261424,4
Nikolaj Ehlers,WPG,L,6000000.0,0.0618984263889526,0
Evan Rodrigues,FLA,C,3000000.0,0.0405860199257458,4
Jake Guentzel,TBL,C,9000000.0,0.0509123117803365,5
