playerId,season,name,team,position,situation,games_played,icetime,shifts,ppTimeOnIce,pkTimeOnIce,powerPlayIcetime,shortHandedIcetime,pp_toi,pk_toi,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,gameScore,icetime_minutes,gs_per_game,gs_per60,mp_value,I_F_goals_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_points_per60,I_F_shotsOnGoal_per60,I_F_xGoals_per60,I_F_hits_per60,I_F_takeaways_per60,I_F_giveaways_per60
8478047,2024,Michael Bunting,NSH,L,,76,70819,1474,0,0,0,0,0,0,19,12,7,38,155,25.19,70,13,58,0.55,0.58,0.58,43.7,1180.3166666666666,0.5750000000000001,0.03702396249594036,0.03702396249594036,0.016097374998234937,0.010166763156779961,0.0059306118414549774,0.032194749996469874,0.1313206907750745,0.02134173032660727,0.05930611841454977,0.011013993419844957,0.04913935525776981
8480950,2024,Ilya Lyubushkin,DAL,D,,80,83457,1763,0,0,0,0,0,0,1,4,9,14,51,2.33,84,20,109,0.42,0.41,0.41,10.38,1390.95,0.12975,0.007462525611991805,0.007462525611991805,0.0007189331032747403,0.002875732413098961,0.006470397929472662,0.010065063445846364,0.03666558826701175,0.0016751141306301448,0.06039038067507818,0.014378662065494804,0.07836370825694669
8477369,2024,Carson Soucy,NYR,D,,75,80618,1872,0,0,0,0,0,0,4,3,6,13,81,3.13,115,17,78,0.37,0.42,0.41,8.07,1343.6333333333334,0.1076,0.006006102855441712,0.006006102855441712,0.0029770026544940335,0.0022327519908705252,0.0044655039817410504,0.009675258627105608,0.06028430375350417,0.002329504577141581,0.08558882631670346,0.012652261281599643,0.05805155176263365
8481518,2024,Nolan Foote,NJD,L,,7,4126,102,0,0,0,0,0,0,0,0,1,1,5,0.51,11,1,2,0.57,0.58,0.58,1.92,68.76666666666667,0.2742857142857143,0.027920504120213283,0.027920504120213283,0.0,0.0,0.014541929229277752,0.014541929229277752,0.07270964614638875,0.007416383906931653,0.15996122152205527,0.014541929229277752,0.029083858458555503
8477964,2024,Ivan Barbashev,VGK,C,,70,70553,1338,0,0,0,0,0,0,23,20,8,51,111,18.33,104,18,78,0.54,0.51,0.51,49.58,1175.8833333333334,0.7082857142857143,0.042164046886737624,0.042164046886737624,0.019559763581988007,0.01700849007129392,0.006803396028517567,0.0433716496817995,0.09439711989568125,0.015588281150340876,0.08844414837072838,0.015307641064164528,0.06633311127804628
8481178,2024,Egor Zamula,PHI,D,,63,62455,1396,0,0,0,0,0,0,3,5,7,15,37,1.52,24,15,52,0.53,0.5,0.52,15.28,1040.9166666666667,0.24253968253968253,0.014679369145784963,0.014679369145784963,0.0028820750940677284,0.004803458490112881,0.006724841886158033,0.014410375470338643,0.035545592826835316,0.0014602513809943158,0.023056600752541827,0.014410375470338643,0.04995596829717396
8484153,2024,Leo Carlsson,ANA,C,,76,74056,1474,0,0,0,0,0,0,20,11,13,44,114,17.18,24,18,51,0.51,0.53,0.53,35.19,1234.2666666666667,0.4630263157894737,0.02851085664902236,0.02851085664902236,0.01620395376471859,0.008912174570595226,0.010532569947067085,0.0356486982823809,0.09236253645889597,0.01391919628389327,0.01944474451766231,0.014583558388246732,0.04132008210003241
8479353,2024,Brett Howden,VGK,C,,80,71342,1531,0,0,0,0,0,0,23,9,8,40,125,19.84,121,22,42,0.49,0.47,0.48,39.75,1189.0333333333333,0.496875,0.033430517787558525,0.033430517787558525,0.019343444254436376,0.007569173838692496,0.006728154523282218,0.03364077261641109,0.10512741442628466,0.0166858232177399,0.10176333716464354,0.0185024249390261,0.03532281124723165
8474641,2024,Adam Henrique,EDM,C,,81,71170,1583,0,0,0,0,0,0,12,5,10,27,104,12.78,58,19,57,0.46,0.44,0.45,23.44,1186.1666666666667,0.2893827160493827,0.019761135309821553,0.019761135309821553,0.010116622172263593,0.004215259238443164,0.008430518476886329,0.022762399887593085,0.08767739215961781,0.010774202613460727,0.048897007165940705,0.016017985106084022,0.04805395531825207
8478904,2024,Steven Lorentz,TOR,C,,80,50654,1265,0,0,0,0,0,0,8,5,6,19,76,8.42,199,12,25,0.42,0.42,0.44,17.46,844.2333333333333,0.21825,0.020681486161013937,0.020681486161013937,0.009476053223832274,0.005922533264895171,0.007107039917874205,0.02250562640660165,0.0900225056264066,0.009973546018083469,0.2357168239428278,0.01421407983574841,0.029612666324475855
8479772,2024,Zack MacEwen,OTT,R,,21,9779,271,0,0,0,0,0,0,2,0,1,3,26,1.91,49,3,7,0.54,0.53,0.53,5.13,162.98333333333332,0.24428571428571427,0.03147561100317006,0.03147561100317006,0.012271193373555579,0.0,0.006135596686777789,0.01840679006033337,0.15952551385622252,0.011718989671745578,0.3006442376521117,0.01840679006033337,0.04294917680744453
