Name,team,position,group,cap_hit,pred_mp_value,mp_value
Shayne Gostisbehere,CAR,D,D,3200000.0,0.0499894562705769,0.0487478788502082
Evan Bouchard,EDM,D,D,3900000.0,0.0473053171352999,0.0492986180305852
Shea Theodore,VGK,D,D,5200000.0,0.042195224080459,0.0389213767829067
Jakob Chychrun,WSH,D,D,4600000.0,0.0380741906837538,0.035457898957498
Noah Dobson,NYI,D,D,4000000.0,0.0329602550357307,0.0327113173290296
Jake Walman,EDM,D,D,3400000.0,0.0300348123905069,0.0308755967930817
Auston Matthews,TOR,C,F,13250000.0,0.0578495054797521,0.0629176893727672
Sam Bennett,FLA,C,F,4425000.0,0.0517977707156915,0.0463939287329748
Jonathan Drouin,COL,L,F,2500000.0,0.0517020239404322,0.0517490567244356
Kirill Marchenko,CBJ,R,F,3850000.0,0.0512470629274856,0.0553244630125789
William Nylander,TOR,R,F,11500000.0,0.0508544425160806,0.0484253075937366
Matt Duchene,DAL,C,F,3000000.0,0.0502400728994051,0.0496543874417556
Carter Verhaeghe,FLA,C,F,4166667.0,0.0494500466880731,0.0487978444106673
Dylan Holloway,STL,L,F,2290457.0,0.0478785167295095,0.0514402603918743
Pavel Dorofeyev,VGK,L,F,1835000.0,0.0463209219286907,0.0483181857313278
Kent Johnson,CBJ,C,F,1800000.0,0.045429359853695,0.0443458665797417
Morgan Geekie,BOS,C,F,2000000.0,0.0447117011389847,0.0440106431970526
Ryan Donato,CHI,C,F,2000000.0,0.0432837335681424,0.03619896786061
Barrett Hayton,UTA,C,F,2650000.0,0.0426344653915129,0.0480339312538658
Stefan Noesen,NJD,R,F,2750000.0,0.0421104086926772,0.0376895945927823
Corey Perry,EDM,R,F,1150000.0,0.0375748669546183,0.0403971455165994
