Name,Pos,GP,Cap Hit,Length,Start Year
,,,,,
Auston Matthews,C,67.0,13250000.0,4.0,2024-25
Nathan MacKinnon,C,79.0,12600000.0,8.0,2023-24
Connor McDavid,C,67.0,12500000.0,8.0,2018-19
Artemi Panarin,L,80.0,11642857.0,7.0,2019-20
Elias Pettersson,C,64.0,11600000.0,8.0,2024-25
Erik Karlsson,D,82.0,11500000.0,8.0,2019-20
William Nylander,C,82.0,11500000.0,8.0,2024-25
David Pastrnak,R,82.0,11250000.0,8.0,2023-24
Drew Doughty,D,30.0,11000000.0,8.0,2019-20
John Tavares,C,75.0,11000000.0,7.0,2018-19
Rasmus Dahlin,D,73.0,11000000.0,8.0,2024-25
Mitchell Marner,R,81.0,10903000.0,6.0,2019-20
Jonathan Huberdeau,L,81.0,10500000.0,8.0,2023-24
Aleksander Barkov,C,67.0,10000000.0,8.0,2022-23
Jack Eichel,C,77.0,10000000.0,8.0,2018-19
Tyler Seguin,C,20.0,9850000.0,8.0,2019-20
Sebastian Aho,C,79.0,9750000.0,8.0,2024-25
Zach Werenski,D,81.0,9583333.0,6.0,2022-23
Alex Ovechkin,L,65.0,9500000.0,5.0,2021-22
Jamie Benn,L,80.0,9500000.0,8.0,2017-18
Mark Stone,R,66.0,9500000.0,8.0,2019-20
Nikita Kucherov,R,78.0,9500000.0,8.0,2019-20
Seth Jones,D,63.0,9500000.0,8.0,2022-23
Brayden Point,C,77.0,9500000.0,8.0,2022-23
Matthew Tkachuk,L,52.0,9500000.0,8.0,2022-23
Charlie McAvoy,D,50.0,9500000.0,8.0,2022-23
Adam Fox,D,74.0,9500000.0,7.0,2022-23
Darnell Nurse,D,76.0,9250000.0,8.0,2022-23
Mikko Rantanen,C,82.0,9250000.0,6.0,2019-20
Nicklas Backstrom,C,0.0,9200000.0,5.0,2020-21
Mathew Barzal,C,30.0,9150000.0,8.0,2023-24
Roman Josi,D,53.0,9059000.0,8.0,2020-21
Dougie Hamilton,D,64.0,9000000.0,7.0,2021-22
Jake Guentzel,L,80.0,9000000.0,7.0,2024-25
Kirill Kaprizov,L,41.0,9000000.0,5.0,2021-22
Cale Makar,D,80.0,9000000.0,6.0,2021-22
Alex Pietrangelo,D,71.0,8800000.0,7.0,2020-21
Timo Meier,R,80.0,8800000.0,8.0,2023-24
Sidney Crosby,C,80.0,8700000.0,12.0,2013-14
Dylan Larkin,C,82.0,8700000.0,8.0,2023-24
Patrik Laine,L,52.0,8700000.0,4.0,2022-23
Sam Reinhart,C,79.0,8625000.0,8.0,2024-25
