Name,team,position,games_played
Nolan Foote,NJD,L,7
Egor Zamula,PHI,D,63
Zack MacEwen,OTT,R,21
Gabe Perreault,NYR,R,5
Chad Ruhwedel,NYR,D,5
Brendan Brisson,VGK,C,9
Oskar Bck,DAL,C,73
T.J. Tynan,COL,C,9
Aatu Raty,VAN,C,33
Helge Grans,PHI,D,6
Tyler Johnson,BOS,C,9
Vladislav Kolyachonok,PIT,D,35
Grant Hutton,NYI,D,13
Declan Carlile,TBL,D,3
Marc-Edouard Vlasic,SJS,D,27
Joe Veleno,CHI,C,74
Kailer Yamamoto,UTA,R,12
Bokondji Imama,PIT,L,16
J.J. Moser,TBL,D,54
Jett Luchanko,PHI,C,4
Ryan Greene,CHI,C,2
Maxwell Crozier,TBL,D,5
Luca Cagnoni,SJS,D,6
Tim Sttzle,OTT,C,82
Vasily Ponomarev,PIT,C,7
Riley Duran,BOS,C,2
Martin Fehrvry,WSH,D,81
Parker Ford,WPG,C,3
Samuel Honzek,CGY,L,5
Rory Kerins,CGY,C,5
Wyatt Aamodt,COL,D,2
Jonathan Lekkerimki,VAN,R,24
Cale Fleury,SEA,D,14
Tyson Kozak,BUF,C,21
Valtteri Puustinen,PIT,R,13
Spencer Stastney,NSH,D,23
Quinn Hutson,EDM,R,2
Jeffrey Viel,BOS,L,5
Nathan Lgar,NJD,R,3
Akil Thomas,LAK,C,25
Jaret Anderson-Dolan,WPG,C,7
Cam York,PHI,D,66
Dennis Cholowski,NJD,D,39
Andrew Poturalski,SJS,C,3
Josh Dunne,BUF,C,2
Taylor Ward,LAK,R,1
Dakota Mermis,TOR,D,4
Connor Mackey,NYR,D,2
Sam Poulin,PIT,R,7
Victor Mancini,VAN,D,31
Joshua Roy,MTL,R,12
Dominik Shine,DET,R,9
Chris Tanev,TOR,D,75
Rasmus Asplund,FLA,C,6
Olle Lycksell,PHI,R,19
Lucas Carlsson,SJS,D,13
Clark Bishop,CGY,C,6
Joona Koppanen,PIT,L,11
Karsen Dorwart,PHI,L,5
Jack Williams,CBJ,R,1
P.O Joseph,PIT,D,47
Hayden Hodgson,OTT,R,2
Patrick Giles,SJS,R,17
Colton Dach,CHI,C,25
Justin Robidas,CAR,C,2
Jacob Quillan,TOR,C,1
Josh Norris,BUF,C,56
Brian Halonen,NJD,L,2
Matt Benning,SJS,D,7
Ian Moore,ANA,D,3
Juha Jaaska,CAR,L,18
Ryan Winterton,SEA,C,12
Patrick Brown,BOS,C,15
Ville Ottavainen,SEA,D,1
Tim Washe,ANA,C,2
Michael Sgarbossa,WSH,C,3
Ben Meyers,SEA,C,8
Ville Koivunen,PIT,R,8
Zac Jones,NYR,D,46
Chris Wagner,COL,R,28
Raphael Lavoie,VGK,C,9
Fabian Lysell,BOS,R,12
Cam Lund,SJS,C,11
Phillip Di Giuseppe,VAN,L,20
Alex Barr-Boulet,MTL,C,2
Hunter Brzustewicz,CGY,D,1
Mike Hardman,NJD,L,2
Travis Dermott,MIN,D,19
Mark Friedman,VAN,D,5
Jeff Malott,LAK,L,12
Ty Mueller,VAN,C,2
Michael Pezzetta,MTL,L,25
Robert Hagg,VGK,D,2
Adam Ginning,PHI,D,1
Ryan Suzuki,CAR,C,2
