Name,team,position,group,cap_hit,pred_mp_value,mp_value
Shayne Gostisbehere,CAR,D,D,3200000.0,0.04998945627057698,0.0487478788502082
Evan Bouchard,EDM,D,D,3900000.0,0.047305317135299924,0.0492986180305852
Shea Theodore,VGK,D,D,5200000.0,0.042195224080459046,0.0389213767829067
Jakob Chychrun,WSH,D,D,4600000.0,0.03807419068375387,0.035457898957498
Noah Dobson,NYI,D,D,4000000.0,0.03296025503573076,0.0327113173290296
Jake Walman,EDM,D,D,3400000.0,0.03003481239050696,0.0308755967930817
Auston Matthews,TOR,C,F,13250000.0,0.05784950547975212,0.0629176893727672
Sam Bennett,FLA,C,F,4425000.0,0.0517977707156915,0.0463939287329748
Jonathan Drouin,COL,L,F,2500000.0,0.051702023940432294,0.0517490567244356
Kirill Marchenko,CBJ,R,F,3850000.0,0.051247062927485695,0.0553244630125789
William Nylander,TOR,R,F,11500000.0,0.05085444251608065,0.0484253075937366
Matt Duchene,DAL,C,F,3000000.0,0.050240072899405186,0.0496543874417556
Carter Verhaeghe,FLA,C,F,4166667.0,0.04945004668807312,0.0487978444106673
Dylan Holloway,STL,L,F,2290457.0,0.04787851672950952,0.0514402603918743
Pavel Dorofeyev,VGK,L,F,1835000.0,0.04632092192869075,0.0483181857313278
Kent Johnson,CBJ,C,F,1800000.0,0.04542935985369504,0.0443458665797417
Morgan Geekie,BOS,C,F,2000000.0,0.04471170113898477,0.0440106431970526
Ryan Donato,CHI,C,F,2000000.0,0.04328373356814245,0.03619896786061
Barrett Hayton,UTA,C,F,2650000.0,0.0426344653915129,0.0480339312538658
Stefan Noesen,NJD,R,F,2750000.0,0.04211040869267728,0.0376895945927823
Corey Perry,EDM,R,F,1150000.0,0.037574866954618355,0.0403971455165994
